progress,duration_sec,finished,consent,responsible,owner_surrender,state_prov,long_work,org_type,org_type_other,org_type_recode,intake_type,intake_type_other,intake_type_recode,yearly_dog_intake,percent_owner_surrender,shelter_soft,shelter_soft_other,shelter_soft_recode,shelter_soft_recode1,s1_primary,s1_breed1,s1_purebred,s1_breed2,s1_colour1,s1_colour2,s1_reason1,s1_additional1,s1_reason2,s1_additional2,s1_reason3,s1_additional3,s1_reason4,s1_additional4,s1_reason5,s1_additional5,s1_reason6,s1_additional6,s1_reason7,s1_additional7,s1_reason8,s1_additional8,s1_reason9,s1_additional9,s1_reason10,s2_primary,s2_breed1,s2_purebred,s2_breed2,s2_colour1,s2_colour2,s2_reason1,s2_additional1,s2_reason2,s2_additional2,s2_reason3,s2_additional3,s2_reason4,s2_additional4,s2_reason5,s2_additional5,s2_reason6,s2_additional6,s2_reason7,s2_additional7,s2_reason8,s2_additional8,s2_reason9,s2_additional9,s2_reason10,s3_primary,s3_breed1,s3_purebred,s3_breed2,s3_colour1,s3_colour2,s3_reason1,s3_additional1,s3_reason2,s3_additional2,s3_reason3,s3_additional3,s3_reason4,s3_additional4,s3_reason5,s3_additional5,s3_reason6,s3_additional6,s3_reason7,s3_additional7,s3_reason8,s3_additional8,s3_reason9,s3_additional9,s3_reason10,s4_primary,s4_breed1,s4_purebred,s4_breed2,s4_colour1,s4_colour2,s4_reason1,s4_additional1,s4_reason2,s4_additional2,s4_reason3,s4_additional3,s4_reason4,s4_additional4,s4_reason5,s4_additional5,s4_reason6,s4_additional6,s4_reason7,s4_additional7,s4_reason8,s4_additional8,s4_reason9,s4_additional9,s4_reason10,reason_accurate,percent_human,percent_animal,choose_primary,more_than_one,owner_provide_one,owner_truth,assistance_change,difficult_change,scenarios_reflect,explain_scenarios,order
100,19,TRUE,"YES, I consent to participate in this study",Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1684,TRUE,"YES, I consent to participate in this study",Yes,Yes,British Columbia,5 + years,Private foster-based rescue,,Private shelter/rescue,Appointment-based,,Appointment-based,40,90,Other:,Google Sheets ,Do not use shelter software,Do not use shelter software,Behaviour - Pet Is Not Good With Children,Australian Bulldog,Mixed, Australian Shepherd,Chestnut,None,Behaviour - Undersocialized,Yes,Behaviour - Pet Is Not Good With Children,No,,,,,,,,,,,,,,,,Behaviour - Destructive (Chews/Digs/Scratches/etc),Labrador Retriever,Mixed, American Bulldog,Black,White,Behaviour - Destructive (Chews/Digs/Scratches/etc),Yes,Cant Afford Vet Expenses for Procedure/Illness,Yes,Cant Focus On Pets Medical Needs (Not Due To Cost),No,,,,,,,,,,,,,,Behaviour - Too Vocal (Barking/Meowing/Howls/etc.),Labrador Retriever,Mixed, King Shepherd,Fawn,Cream,Behaviour - Too Vocal (Barking/Meowing/Howls/etc.),Yes,Behaviour - Housetraining/Spraying/Marking Issues,No,,,,,,,,,,,,,,,,Behaviour - Pet Has Anxiety,Labrador Retriever,Mixed, Basset Hound,Fawn,Apricot,Behaviour - Undersocialized,Yes,Allergies - Person Has Allergies To Pet,Yes,Cant Afford Spay/Neuter,No,,,,,,,,,,,,,,8,70,39,By the behaviour or issue that stands out most and will accurately help our homes assess the dog. ,Strongly Agree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Agree,9,Scenarios are accurate. Many times people are having babies and no longer want their pets. Allergic is another reason. Owner dying is also a factor.  ,Scenario#2-DatainputScenario#4-DatainputScenario#1-DatainputScenario#3-Datainput
100,48,TRUE,"YES, I consent to participate in this study",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,26,TRUE,"YES, I consent to participate in this study",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,2038,TRUE,"YES, I consent to participate in this study",Yes,Yes,British Columbia,5 + years,Municipally (governmentally) operated,,Municipally (governmentally) operated,Limited intake (only when space in the shelter is available for that animal),,Limited intake (only when space in the shelter is available for that animal),100,15,Other:,Multiple Options (Microsoft Access program),Microsoft Access,Other,Behaviour - Growls/Lunges/Claws/Hisses At People,Labrador Retriever,Mixed, Boxer,Tan,Black,Behaviour - Growls/Lunges/Claws/Hisses At Animals,Yes,Life Change - New Baby/Divorce/Relation Split/etc.,No,,,,,,,,,,,,,,,,Behaviour - Pet Has Anxiety,Labrador Retriever,Mixed, Border Collie,Black,White,Behaviour - Pet Has Anxiety,Yes,Behaviour - Destructive (Chews/Digs/Scratches/etc),Yes,Behaviour - Too Vocal (Barking/Meowing/Howls/etc.),Yes,Cant Afford Vet Expenses for Procedure/Illness,Yes,Cant Focus On Pets Medical Needs (Not Due To Cost),Yes,Life Change-Human Illness/Injury/CareHome/Hospital,No,,,,,,,,No Time For Pet/Pet Is Too Much Responsibility,Terrier,Mixed, Labrador Retriever,Blonde,White,Unwanted Litter,Yes,Too Many Animals,Yes,Behaviour - Housetraining/Spraying/Marking Issues,No,,,,,,,,,,,,,,Behaviour - Keeps Escaping,Australian Cattle Dog/Red Heeler,Mixed, Labrador Retriever,Strawberry Roan,None,Behaviour - Keeps Escaping,Yes,Behaviour - Too Active,Yes,Allergies - Person Has Allergies To Pet,No,,,,,,,,,,,,,,8,65,65,We can select multiple reasons for surrender in our software,Agree,Agree,Somewhat Agree,Strongly Agree,Agree,7,"The scenarios themselves are certainly ones we have dealt with and heard in the past. However, your survey is flawed regarding breed because 1) these are not strays, so we can ask the owners what breed(s) their dog is. 2) there is no ""unknown"" or ""mixed breed"" choices, which some software allows. ",Scenario#3-DatainputScenario#2-DatainputScenario#4-DatainputScenario#1-Datainput
100,20959,TRUE,"YES, I consent to participate in this study",Yes,Yes,British Columbia,5 + years,Private foster-based rescue,,Private shelter/rescue,Limited intake (only when space in the shelter is available for that animal),,Limited intake (only when space in the shelter is available for that animal),2,50,Do not use shelter software,,Do not use shelter software,Do not use shelter software,No Time For Pet/Pet Is Too Much Responsibility,German Shepherd,Mixed, American Staffordshire Terrier,Fawn,Black,No Time For Pet/Pet Is Too Much Responsibility,Yes,Behaviour - Growls/Lunges/Claws/Hisses At People,Yes,Behaviour - Too Active,Yes,Behaviour - Pet Is Not Good With Children,Yes,Life Change - New Baby/Divorce/Relation Split/etc.,No,,,,,,,,,,Life Change-Human Illness/Injury/CareHome/Hospital,Rottweiler,Mixed, Cane Corso,Black Brown,White,No Time For Pet/Pet Is Too Much Responsibility,Yes,Behaviour - Destructive (Chews/Digs/Scratches/etc),Yes,Life Change-Human Illness/Injury/CareHome/Hospital,Yes,Home - Pet Is Showing Signs Of Stress In The Home,Yes,Behaviour - Pet Has Anxiety,Yes,Cant Afford Vet Expenses for Chronic Condition,No,,,,,,,,Moving/Evicted - Cant Take Pet Where Owner Going,German Shepherd,Mixed, Collie Smooth,Yellow,White,No Time For Pet/Pet Is Too Much Responsibility,Yes,Moving/Evicted - Cant Take Pet Where Owner Going,Yes,Behaviour - Too Vocal (Barking/Meowing/Howls/etc.),Yes,Behaviour - Housetraining/Spraying/Marking Issues,Yes,Too Many Animals,No,,,,,,,,,,Allergies - Person Has Allergies To Pet,Australian Cattle Dog/Blue Heeler,Mixed, Australian Cattle Dog/Red Heeler,Yellow,Ticked,Behaviour - Keeps Escaping,Yes,Behaviour - Growls/Lunges/Claws/Hisses At Animals,Yes,No Time For Pet/Pet Is Too Much Responsibility,Yes,Allergies - Person Has Allergies To Pet,Yes,Cant Afford Spay/Neuter,Yes,Behaviour - Destructive (Chews/Digs/Scratches/etc),No,,,,,,,,2,38,90,"The main reason which may lead to other reasons.  For example, allergies to a dog may mean that dog is kept in the yard which leads to other problems.",Strongly Agree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,7,"We won't take most dogs with a bite history.
We would never judge a dog's breed from one photo.  (There is no ""Collie, Rough"") in your list.
We spend a lot of one on one time with surrendering owners, more than most shelters could do.",Scenario#4-DatainputScenario#2-DatainputScenario#3-DatainputScenario#1-Datainput
100,2103,TRUE,"YES, I consent to participate in this study",Yes,Yes,British Columbia,5 + years,Private with municipal contract(s),,Private with municipal contract(s),Limited intake (only when space in the shelter is available for that animal),,Limited intake (only when space in the shelter is available for that animal),75,75,ShelterBuddy,,ShelterBuddy,ShelterBuddy,No Time For Pet/Pet Is Too Much Responsibility,Cairn Terrier,Mixed, Pug,Chestnut,None,No Time For Pet/Pet Is Too Much Responsibility,Yes,Life Change - New Baby/Divorce/Relation Split/etc.,Yes,Behaviour - Too Active,No,,,,,,,,,,,,,,Life Change-Human Illness/Injury/CareHome/Hospital,Labrador Retriever,Mixed, Pit Bull Terrier,Black,White,Life Change-Human Illness/Injury/CareHome/Hospital,Yes,No Time For Pet/Pet Is Too Much Responsibility,Yes,Behaviour - Destructive (Chews/Digs/Scratches/etc),No,,,,,,,,,,,,,,Too Many Animals,Labrador Retriever,Mixed, Pointer,Apricot,White,Too Many Animals,Yes,Unwanted Litter,No,,,,,,,,,,,,,,,,Behaviour - Too Active,Australian Cattle Dog/Red Heeler,Mixed, Terrier,Red Merle,White,Behaviour - Too Active,Yes,Cant Afford Spay/Neuter,Yes,Behaviour - Destructive (Chews/Digs/Scratches/etc),Yes,Allergies - Person Has Allergies To Pet,No,,,,,,,,,,,,7,50,90,the animals behaviour ,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,7,"I think many times it is multiple reasons, usually owners will state their reasoning first and then follow up with the reasons that the animal is too much for them (behavior or other)",Scenario#4-DatainputScenario#3-DatainputScenario#1-DatainputScenario#2-Datainput
100,845,TRUE,"YES, I consent to participate in this study",Yes,Yes,British Columbia,5 + years,Private rescue with shelter facility,,Private shelter/rescue,Appointment-based,,Appointment-based,700,30,ShelterBuddy,,ShelterBuddy,ShelterBuddy,Behaviour - Undersocialized,German Shepherd,Mixed, Pit Bull Terrier,Tan,Black,No Time For Pet/Pet Is Too Much Responsibility,No,,,,,,,,,,,,,,,,,,Life Change-Human Illness/Injury/CareHome/Hospital,Pit Bull Terrier,Mixed, Labrador Retriever,Black,White,Life Change-Human Illness/Injury/CareHome/Hospital,Yes,Cant Afford Food/Grooming/General Expenses,No,,,,,,,,,,,,,,,,Unwanted Litter,Labrador Retriever,Mixed, Greyhound,Tan,White,Unwanted Litter,Yes,Behaviour - Housetraining/Spraying/Marking Issues,Yes,No Time For Pet/Pet Is Too Much Responsibility,No,,,,,,,,,,,,,,Behaviour - Undersocialized,Labrador Retriever,Mixed, Pit Bull Terrier,Cream,Red Merle,Allergies - Person Has Allergies To Pet,No,,,,,,,,,,,,,,,,,,2,10,70,What we think is the real issue,Strongly Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,7,"I think there are a lot of people blaming COVID as it is easy yo use as an excuse why they haven't trained their dog when it is really laziness and not being committed
Si,ilar but there are hundreds of reasons people give you",Scenario#3-DatainputScenario#4-DatainputScenario#1-DatainputScenario#2-Datainput
100,1315,TRUE,"YES, I consent to participate in this study",Yes,Yes,Virginia,5 + years,Private rescue with shelter facility,,Private shelter/rescue,Limited intake (only when space in the shelter is available for that animal),,Limited intake (only when space in the shelter is available for that animal),500,5,Petpoint,,Petpoint,Petpoint,Life Change - New Baby/Divorce/Relation Split/etc.,Pit Bull Terrier,Mixed, German Shepherd,Red,Black,Life Change - New Baby/Divorce/Relation Split/etc.,Yes,Behaviour - Too Active,Yes,Behaviour - Growls/Lunges/Claws/Hisses At People,No,,,,,,,,,,,,,,Life Change-Human Illness/Injury/CareHome/Hospital,Labrador Retriever,Mixed, Pit Bull Terrier,Black,White,Life Change-Human Illness/Injury/CareHome/Hospital,Yes,Behaviour - Destructive (Chews/Digs/Scratches/etc),No,,,,,,,,,,,,,,,,Moving/Evicted - Cant Take Pet Where Owner Going,Greyhound,Mixed, Collie Smooth,Tan,White,Too Many Animals,Yes,Moving/Evicted - Cant Take Pet Where Owner Going,Yes,Behaviour - Too Vocal (Barking/Meowing/Howls/etc.),Yes,Behaviour - Housetraining/Spraying/Marking Issues,Yes,Cant Afford Spay/Neuter,No,,,,,,,,,,Behaviour - Too Active,Pointer,Mixed, Pit Bull Terrier,White,Red,Behaviour - Destructive (Chews/Digs/Scratches/etc),Yes,Cant Afford Spay/Neuter,Yes,Behaviour - Keeps Escaping,Yes,Allergies - Person Has Allergies To Pet,No,,,,,,,,,,,,4,60,65,"I try to find the most comprehensive reason or the root issue (what off all the issues brought up seem like a justification for another issue, are they looking for reasons to help them feel better about the decision).",Neutral,Somewhat Disagree,Somewhat Disagree,Disagree,Strongly Agree,7,We typically have people come in that are significantly more frustrated and can be borderline abusive to staff before even interacting with them. There are often threats (vague or direct) toward the animal if we cannot immediately take it or ask any questions. ,Scenario#4-DatainputScenario#1-DatainputScenario#3-DatainputScenario#2-Datainput
100,2093,TRUE,"YES, I consent to participate in this study",Yes,Yes,North Carolina,> 2 - 5 years,Municipally (governmentally) operated,,Municipally (governmentally) operated,Appointment-based,,Appointment-based,1500,76,Other:,ShelterPro,ShelterPro,Other,Behaviour - Too Active,German Shepherd,Mixed, Pit Bull Terrier,Tan,Black,Behaviour - Too Active,Yes,Behaviour - Growls/Lunges/Claws/Hisses At People,Yes,Life Change - New Baby/Divorce/Relation Split/etc.,No,,,,,,,,,,,,,,Life Change-Human Illness/Injury/CareHome/Hospital,Labrador Retriever,Mixed, Pit Bull Terrier,Black,White,Life Change-Human Illness/Injury/CareHome/Hospital,Yes,Behaviour - Destructive (Chews/Digs/Scratches/etc),No,,,,,,,,,,,,,,,,No Time For Pet/Pet Is Too Much Responsibility,Australian Shepherd,Mixed, Mountain Cur,Yellow,White,No Time For Pet/Pet Is Too Much Responsibility,Yes,Unwanted Litter,No,,,,,,,,,,,,,,,,Behaviour - Destructive (Chews/Digs/Scratches/etc),Australian Cattle Dog/Red Heeler,Mixed, Pit Bull Terrier,Tan,White,Behaviour - Destructive (Chews/Digs/Scratches/etc),Yes,Allergies - Person Has Allergies To Pet,Yes,Behaviour - Too Vocal (Barking/Meowing/Howls/etc.),No,,,,,,,,,,,,,,5,75,50,The prominate one the owner mentions the most and scaled from highest concern to lowest,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,7,"Typical scenarios include ""Im Moving"", ""wont stop Barking"", land lord doesnt allow, barks to much, pees in the house. Very similar to our day to day experiences here at our facility.",Scenario#2-DatainputScenario#3-DatainputScenario#1-DatainputScenario#4-Datainput
